,Title,Published_date,Views,Likes,duration,Comments,durationSecs,Month
136,This Monk Will Teach You 1000 Year-Old Brain Hacks ft. Dandapani | The Ranveer Show 135,2021-08-24,616755,25783,PT1H7M3S,1488,4023.0,Aug
137,"Man Made Virus, Intention behind it, Modern Wars & More ft. Rajiv Malhotra | The Ranveer Show 134",2021-08-20,559226,19678,PT1H26M43S,2441,5203.0,Aug
138,"Why We QUIT Non-Veg? - Tamannaah Bhatia, Shilpa Shetty, Fittuber, BeerBiceps | The Ranveer Show",2021-08-17,352107,17801,PT8M3S,1176,483.0,Aug
139,The Special Forces - Mindset and Attitude | The Indian Army | Major Vivek Jacob | The Ranveer Show,2021-08-14,535321,33635,PT7M18S,572,438.0,Aug
140,He Made My Income Boom - HERE'S HOW ft. Dr. Radhakrishnan Pillai | Chanakya | The Ranveer Show 133,2021-08-13,175143,7689,PT38M49S,331,2329.0,Aug
141,Real STORIES From Special Forces Of The Indian Army ft. Colonel Subin | The Ranveer Show 132,2021-08-10,779051,26899,PT1H51M39S,1188,6699.0,Aug
142,Sandeep Nailwal On Cryptocurrency & Blockchain | MATIC Founder Polygon | The Ranveer Show 131,2021-08-06,464222,13909,PT1H1M31S,3514,3691.0,Aug
143,"Startup Growth Hacks, Products, Gaming Industry and more ft. Ryan Hoover | The Ranveer Show 130",2021-08-03,65678,3533,PT1H6M19S,207,3979.0,Aug
144,Neuroscientist Explains Scary Secrets Of Your Brain | Dr. Baland Jalal | The Ranveer Show 129,2021-07-30,646094,22234,PT1H53M3S,1149,6783.0,Jul
145,Gauranga Das - Secrets Of The Universe In The Bhagavad Gita | The Ranveer Show 128,2021-07-27,396926,16730,PT58M32S,1406,3512.0,Jul
146,Life-Changing Conversation With The Legendary Monk - Gauranga Das | The Ranveer Show 127,2021-07-23,1141715,42352,PT1H14M37S,2451,4477.0,Jul
147,Kunal Shah Of Indian Unicorn - CRED On Start-Ups & Productivity Hacks | The Ranveer Show 126,2021-07-20,544605,19646,PT1H21M42S,1279,4902.0,Jul
148,"Farhan Akhtar on Film Making process, Warrior Mindset, Creativity & Fitness | The Ranveer Show 125",2021-07-16,250899,15609,PT38M58S,1598,2338.0,Jul
149,The BIG Secret To Winning At Life - Explained For Teenagers | Spirituality | The Ranveer Show,2021-07-13,374359,23871,PT7M43S,513,463.0,Jul
150,"6 Years Of BeerBiceps - Anger, Arrogance & Trauma | The Ranveer Show 124",2021-07-09,105473,6665,PT35M14S,466,2114.0,Jul
151,"Grant Cardone’s life story | Sales, Bravery & A Winner’s Mindset | The Ranveer Show 123",2021-07-06,109349,7508,PT25M8S,735,1508.0,Jul
152,"India, China Or USA? Who's The Next Superpower? Abhijit Chavda On GeoPolitics | The Ranveer Show 122",2021-07-02,717068,27674,PT1H8M5S,3159,4085.0,Jul
153,"India's TOP Educator Aman Dhattarwal On Productivity, EdTech & The Future | The Ranveer Show 121",2021-06-29,433767,22011,PT37M26S,1574,2246.0,Jun
154,"@Sushant Divgikar - The UNTOLD, Heart-warming Story | Rani KoHEnur | The Ranveer Show 120",2021-06-25,558569,28461,PT1H53M1S,2587,6781.0,Jun
155,How To Manifest - Step By Step Explanation By Luke Coutinho & BeerBiceps | The Ranveer Show,2021-06-22,815393,43659,PT15M29S,1233,929.0,Jun
156,Viswanathan Anand - The Legendary Chess Grandmaster | The Ranveer Show 119,2021-06-18,196548,11502,PT1H6M14S,881,3974.0,Jun
157,Sex According To Ancient India - Kamasutra Explained | Seema Anand On The Ranveer Show,2021-06-15,2590051,60377,PT13M10S,1496,790.0,Jun
158,Everyone Needs To Know This App | Clubhouse HONEST Review | The Ranveer Show 118,2021-06-11,166955,9362,PT10M41S,633,641.0,Jun
159,"""40 Years In The Amazon Taught Me This"" - Mark Plotkin | Psychedelic Expert | The Ranveer Show 117",2021-06-08,144157,6528,PT1H9M23S,371,4163.0,Jun
160,4 Life-Changing Lessons NOT Taught By The Indian Education System - Billionaire Mindset | BeerBiceps,2021-06-04,435560,44213,PT12M48S,1725,768.0,Jun
161,Want To Become CRAZY RICH In Life? - Watch This ft. Malkansview | The Ranveer Show 116,2021-06-01,232076,11176,PT40M44S,893,2444.0,Jun
162,"10,000 To 1 Crore Through Stocks ft. Malkansview | Stock Market MASTERCLASS | The Ranveer Show 115",2021-05-28,985526,43636,PT41M56S,3324,2516.0,May
163,"The Inspiring Story Behind Pinterest, Stripe And Gumroad ft. Sahil Lavingia | The Ranveer Show 114",2021-05-25,87211,4144,PT57M56S,358,3476.0,May
164,"BeerBiceps In Conversation With Matthew Hussey | Breakups, Love & Cheating | The Ranveer Show 113",2021-05-21,219327,11131,PT1H37S,962,3637.0,May
165,"Aliens, Time Travel & Parallel Universes ft. Abhijit Chavda | The Ranveer Show 112",2021-05-18,1430602,51100,PT57M15S,3164,3435.0,May
166,Mind-bending Secrets Of The Universe Explained Simply ft. Abhijit Chavda | The Ranveer Show 111,2021-05-14,827381,38787,PT46M8S,2695,2768.0,May
167,My HONEST Investment Strategy Revealed | Investing For Beginners | BeerBiceps Personal Finance,2021-05-11,1039343,57027,PT10M43S,3132,643.0,May
