,Title,Published_date,Views,Likes,Comments,Month
153,"India's TOP Educator Aman Dhattarwal On Productivity, EdTech & The Future | The Ranveer Show 121",2021-06-29,433732,22009,1574,Jun
154,"@Sushant Divgikar - The UNTOLD, Heart-warming Story | Rani KoHEnur | The Ranveer Show 120",2021-06-25,558286,28447,2587,Jun
155,How To Manifest - Step By Step Explanation By Luke Coutinho & BeerBiceps | The Ranveer Show,2021-06-22,813545,43610,1232,Jun
156,Viswanathan Anand - The Legendary Chess Grandmaster | The Ranveer Show 119,2021-06-18,196435,11497,881,Jun
157,Sex According To Ancient India - Kamasutra Explained | Seema Anand On The Ranveer Show,2021-06-15,2586587,60289,1494,Jun
158,Everyone Needs To Know This App | Clubhouse HONEST Review | The Ranveer Show 118,2021-06-11,166929,9361,633,Jun
159,"""40 Years In The Amazon Taught Me This"" - Mark Plotkin | Psychedelic Expert | The Ranveer Show 117",2021-06-08,143914,6517,371,Jun
160,4 Life-Changing Lessons NOT Taught By The Indian Education System - Billionaire Mindset | BeerBiceps,2021-06-04,435503,44211,1725,Jun
161,Want To Become CRAZY RICH In Life? - Watch This ft. Malkansview | The Ranveer Show 116,2021-06-01,231898,11172,893,Jun
162,"10,000 To 1 Crore Through Stocks ft. Malkansview | Stock Market MASTERCLASS | The Ranveer Show 115",2021-05-28,984167,43614,3324,May
163,"The Inspiring Story Behind Pinterest, Stripe And Gumroad ft. Sahil Lavingia | The Ranveer Show 114",2021-05-25,87204,4144,358,May
164,"BeerBiceps In Conversation With Matthew Hussey | Breakups, Love & Cheating | The Ranveer Show 113",2021-05-21,219219,11122,962,May
165,"Aliens, Time Travel & Parallel Universes ft. Abhijit Chavda | The Ranveer Show 112",2021-05-18,1428190,51052,3161,May
166,Mind-bending Secrets Of The Universe Explained Simply ft. Abhijit Chavda | The Ranveer Show 111,2021-05-14,825935,38761,2696,May
167,My HONEST Investment Strategy Revealed | Investing For Beginners | BeerBiceps Personal Finance,2021-05-11,1039304,57025,3132,May
