,Title,Published_date,Views,Likes,duration,Comments,durationSecs,Month
121,Jay and His Wife Radhi ON: Respecting Boundaries & Growing as a Couple,2021-09-27,79641,2804,PT48M35S,137,2915.0,Sep
122,Robin Sharma ON How To Release Your Toxic Beliefs and Getting Back To Your Higher Nature,2021-09-24,107870,4012,PT58M42S,180,3522.0,Sep
123,Thank you for this Russ 🙌,2021-09-23,26195,1644,PT8S,17,8.0,Sep
124,Dr. Nicole LePera ON: Why You Feel Stuck in Your Past & Finding Self-Awareness to Heal From Trauma,2021-09-20,96018,3137,PT57M58S,108,3478.0,Sep
125,Hasan Minhaj  ON How To Strategically Express Yourself & Take Criticism Positively,2021-09-17,46265,1535,PT42M2S,62,2522.0,Sep
126,Gabrielle Union ON: Vulnerability & Turning Your Weakness Into Your Superpower,2021-09-13,78476,2637,PT57M33S,137,3453.0,Sep
127,Deepica Mutyala: ON Entrepreneurship and How To Quit Your Job To Pursue Your Dreams,2021-09-10,35933,1286,PT1H9M49S,68,4189.0,Sep
128,Rachel Hollis ON: The Courage to Make Mistakes & How to Stay Motivated in Difficult Times,2021-09-06,48123,1410,PT1H43M19S,122,6199.0,Sep
129,This Is Why You're Stuck & Not Getting The Results You Want | Shark Tank Investor Daymond John,2021-09-03,24102,780,PT1H3M52S,42,3832.0,Sep
130,Jessica Alba ON: Overcoming Imposter Syndrome & Perfectionism to Live Your Best Life,2021-08-30,73997,2288,PT48M27S,160,2907.0,Aug
131,Dr. Steven Gundry ON: “Healthy” Foods You Shouldn’t Be Eating & the Warning Signs of a Leaky Gut,2021-08-23,43718,1414,PT55M33S,102,3333.0,Aug
132,"How to Design Your Life to Live Longer, Healthier & Happier",2021-08-20,13209,434,PT1H5M32S,30,3932.0,Aug
133,Alexis Ren ON: Breaking Negative Cycles and Letting Go of the Lies We Tell Ourselves,2021-08-16,242296,7407,PT1H37M6S,320,5826.0,Aug
134,Katee Sackhoff: ON How To Speak To Yourself,2021-08-13,17650,607,PT57M39S,41,3459.0,Aug
135,Matthew Hussey ON: How to Get Over Your Ex & Find True Love in Your Relationships,2021-08-09,1060271,22343,PT1H28M2S,3084,5282.0,Aug
