,Title,Published_date,Views,Likes,duration,Comments,durationSecs,Month
96,Psychologist Shows How to CHANGE the Way You THINK About LIFE | Benjamin Hardy,2022-03-15,155727,3987,PT1H5M14S,373,3914.0,Mar
97,"Stay FOCUSED, Overcome FEAR, and Train Your Mind For SUCCESS | Brendon Burchard on Impact Theory",2022-03-12,125958,4075,PT31M18S,417,1878.0,Mar
98,What You Know About the KETO DIET Is WRONG! This Is What NEW STUDIES Are Showing | Dr. Steven Gundry,2022-03-10,1030892,19380,PT1H5M53S,2222,3953.0,Mar
99,Is Reality REAL? This Scientists Answer on The Simulation Argument Might SHOCK You | David Chalmers,2022-03-08,59338,1269,PT1H26M35S,602,5195.0,Mar
100,Focus on YOURSELF and Stop CARING What People Think of You,2022-03-05,147745,4378,PT34M30S,391,2070.0,Mar
101,"Reduce Your BIOLOGICAL AGE, and Live A Longer & BETTER LIFE | Kara Fitzgerald on Health Theory",2022-03-03,133577,3212,PT56M2S,389,3362.0,Mar
102,Master the ART OF NEGOTIATION and WIN Any Exchange | Chris Voss,2022-03-01,113712,2974,PT1H51M5S,340,6665.0,Mar
103,Establish and MAINTAIN Discipline For GOOD with These Helpful TIPS | Tom Bilyeu,2022-02-26,128407,4905,PT23M13S,446,1393.0,Feb
104,Are We Living In the MATRIX? This Scientist Might Have An Answer ONCE and For ALL | Donald Hoffman,2022-02-24,46092,1309,PT30M59S,341,1859.0,Feb
105,The Psychological Tricks To READ ANYONE & Be More CHARISMATIC | Vanessa Van Edwards,2022-02-22,402598,11656,PT1H1M,598,3660.0,Feb
106,Use These CALMING Techniques to Relax In MINUTES,2022-02-19,45985,1407,PT34M9S,143,2049.0,Feb
107,New Studies REVEAL How You Can Become Younger & REVERSE YOUR AGE | Peter Diamandis,2022-02-17,131397,3392,PT1H33M2S,492,5582.0,Feb
108,THIS CAUSES DISEASE - The Worst Foods You Need To AVOID At All Costs! | Dr. David Perlmutter,2022-02-15,1102904,16451,PT54M12S,1616,3252.0,Feb
109,"Find Your PURPOSE, Craft Your Identity and COMMIT to YOURSELF | Tom Bilyeu",2022-02-12,42625,1465,PT1H4M48S,269,3888.0,Feb
110,"UNDERSTAND and LEVERAGE Web3, NFT’s and The Future of Blockchain TECHNOLOGY | Tom Bilyeu",2022-02-10,135245,3384,PT38M59S,1031,2339.0,Feb
111,Success Comes FROM MASTERING These UNIVERSAL LAWS | Robert Greene,2022-02-08,128133,4067,PT33M19S,340,1999.0,Feb
112,"Great Leaders Do THIS to Inspire Action, Manage Better & Lead Effectively",2022-02-05,39802,1245,PT30M8S,255,1808.0,Feb
113,EVERYTHING You Need to Know About the Next Technology REVOLUTION | Tom Bilyeu,2022-02-03,90753,3244,PT32M17S,445,1937.0,Feb
114,"DESIGN Your Life, Achieve Your Goals, & Make Progress In Your Life | Tom Bilyeu",2022-02-01,97695,3014,PT25M36S,288,1536.0,Feb
115,Break Your LIMITING Beliefs and Wipe Out YOUR Negative Thinking | Tom Bilyeu,2022-01-29,150824,5405,PT19M43S,428,1183.0,Jan
116,"RESET Your Age, LOOK Younger and Live FOREVER (Seriously!) | David Sinclair",2022-01-27,408193,10295,PT1H5M25S,1304,3925.0,Jan
117,"MOTIVATE Yourself, and Turn Your ANXIETY, Depression and FEAR Into Power | Jay Glazer",2022-01-25,63252,1686,PT52M47S,302,3167.0,Jan
118,Listen to This EXPERT Advice for How to Deal with DIFFICULT and TOXIC People,2022-01-22,89251,2743,PT31M33S,397,1893.0,Jan
119,"The TOP FOODS That Melt Fat, Build Muscle & Prevent CHRONIC DISEASE! | Stan Efferding",2022-01-20,1175873,19185,PT1H3M22S,1375,3802.0,Jan
120,"If You Want To COMPLETELY CHANGE Your Life In 30 Days, WATCH THIS! | Tony Robbins",2022-01-18,667692,18482,PT57M11S,1150,3431.0,Jan
121,How to FIND Fulfillment and Discover Your TRUE Self Again | Tom Bilyeu,2022-01-15,112082,3672,PT22M38S,459,1358.0,Jan
122,LONGEVITY: Start Doing This To BUILD MUSCLE & Live Longer! | Gabrielle Lyon,2022-01-13,763494,17312,PT42M29S,2457,2549.0,Jan
123,This Is Why CHASING Money Is NEVER The Answer To Your PROBLEMS,2022-01-11,49857,1505,PT45M14S,262,2714.0,Jan
124,"Be More PRODUCTIVE, PRIORITIZE Your Time, and Get Things DONE!",2022-01-08,167436,5008,PT29M41S,243,1781.0,Jan
125,The TRUTH About Why Our Boys Are STRUGGLING & And How We Can Fix It | Warren Farrell,2022-01-06,34480,1191,PT1H32M43S,293,5563.0,Jan
126,"Quit Procrastinating, Manage Your TIME, and Take ACTION on Your Life TODAY! | Tom Bilyeu",2022-01-04,146029,4767,PT24M,355,1440.0,Jan
127,The Concrete Steps You NEED to take to Get Ahead In Life & Become UNBREAKABLE | Tom Bilyeu,2022-01-01,150030,5957,PT38M6S,409,2286.0,Jan
128,Lose FAT and Get HEALTHY With These Simple WEIGHT LOSS Hacks | Gary Taubes,2021-12-30,224734,4544,PT58M29S,470,3509.0,Dec
129,Learn How to Properly CARE for Yourself & Leverage It For an ENJOYABLE Life | Tom Bilyeu,2021-12-28,154471,4737,PT20M20S,255,1220.0,Dec
